UPC,System ID,Category Name,Price,QOH,Product ID,URL,Category,Photo,Brand Name,Name,Brand,Short Name,Pets,Size,buy_12_get_1_free
632634490003,410000020004,,24.49,3,,,,,Ark Naturals,Brushless Fortify S Dogs,Ark Naturals,Brushless Fortify,Dogs,Small,No
632634490034,410000020005,,33.99,3,,,,,Ark Naturals,Brushless Fortify L Dogs,Ark Naturals,Brushless Fortify,Dogs,Large,No
021653354128,410000020008,,19.69,2,,,,,Bio-Groom,Bio-Groom Indulge with Argan Oil Creme Rinse 12oz,Bio-Groom,Indulge with Argan Oil Creme Rinse,Dogs,12oz,No
,410000020012,,44.99,0,,,,,Chilly Dog,ChillyDog Blanket Coat Lined with Cozy Fleece Pink Plaid M,Chilly Dog,ChillyDog Blanket Coat Lined with Cozy Fleece Pink Plaid,Dogs,Medium,No
,410000020019,,44.99,2,,,,,Chilly Dog,ChillyDog Blanket Coat Lined with Cozy Fleece Pink Plaid XS,Chilly Dog,ChillyDog Blanket Coat Lined with Cozy Fleece Pink Plaid,Dogs,X-Small,No
785571071870,410000020023,,21.99,2,,,,,Curli,Curli Multifunctional Safety Lights Blue,Curli,Multifunctional Safety Lights Blue,Dogs,,No
785571071856,410000020024,,21.99,1,,,,,Curli,Curli Multifunctional Safety Lights Black,Curli,Multifunctional Safety Lights Black,Dogs,,No
076484616518,410000020031,,8.99,3,,,,,Evolution,Evolution Shedding Comb,Evolution,Shedding Comb,Dogs,,No
841186116501,410000020044,,59.99,3,,,,,Gooby,Gooby Raincoat V2 Yellow XS,Gooby,Raincoat V2 Yellow,Dogs,X-Small,No
841186116532,410000020048,,59.99,2,,,,,Gooby,Gooby Raincoat V2 Yellow L,Gooby,Raincoat V2 Yellow,Dogs,Large,No
841186116525,410000020049,,59.99,2,,,,,Gooby,Gooby Raincoat V2 Yellow M,Gooby,Raincoat V2 Yellow,Dogs,Medium,No
841186107387,410000020052,,38.99,1,,,,,Gooby,Gooby Lite Gear Z Harness Turquoise L,Gooby,Lite Gear Z Harness Turquoise,Dogs,Large,No
